,technology,year,cap_mean_base,fix_mean_base,fix_mean_US,fix_min_US,fix_max_US,US_scenario,cap_par_unit,cap_min_US,cap_mean_US,cap_max_US,cap_factor,fix_factor,cap_min_final,cap_max_final,fix_min_final,fix_max_final
82,Geothermal Power Plant,2050,126.83916793505837,3.805175038051751,112.06624528996316,91.00170388547414,131.33270445179997,Advanced,$/kW,3203.0,3203.0,3203.0,0.03960011487201323,0.033954693745704964,126.83916793505838,126.83916793505838,3.089934985768604,4.459361758456051
83,Geothermal Power Plant,2050,126.83916793505837,3.805175038051751,289.25264446657906,107.38936857780548,535.6035241127811,Conservative,$/kW,3923.0,3923.0,3923.0,0.032332186575339886,0.01315519533129596,126.83916793505837,126.83916793505837,1.4127281201455677,7.045968979834121
84,Large Hydropower Plant (Dam) (>100MW),2025,95.12937595129378,2.8538812785388132,17.82,17.82,17.82,Moderate,$/kW,3089.0,3256.0,3423.0,0.029216638805679908,0.16015046456446763,90.25019727074523,100.00855463184233,2.8538812785388132,2.8538812785388132
85,Large Hydropower Plant (Dam) (>100MW),2025,95.12937595129378,2.8538812785388132,17.82,17.82,17.82,Advanced,$/kW,2997.0,3159.0,3320.0,0.030113762567677678,0.16015046456446763,90.25094641533,99.97769172468989,2.8538812785388132,2.8538812785388132
86,Large Hydropower Plant (Dam) (>100MW),2025,95.12937595129378,2.8538812785388132,17.82,17.82,17.82,Conservative,$/kW,3089.0,3256.0,3423.0,0.029216638805679908,0.16015046456446763,90.25019727074523,100.00855463184233,2.8538812785388132,2.8538812785388132
87,Large Hydropower Plant (Dam) (>100MW),2030,95.12937595129378,2.8538812785388132,17.82,17.82,17.82,Moderate,$/kW,3089.0,3256.0,3423.0,0.029216638805679908,0.16015046456446763,90.25019727074523,100.00855463184233,2.8538812785388132,2.8538812785388132
88,Large Hydropower Plant (Dam) (>100MW),2030,95.12937595129378,2.8538812785388132,17.82,17.82,17.82,Advanced,$/kW,2904.0,3061.0,3217.0,0.031077875188269776,0.16015046456446763,90.25014954673543,99.97752448066387,2.8538812785388132,2.8538812785388132
89,Large Hydropower Plant (Dam) (>100MW),2030,95.12937595129378,2.8538812785388132,17.82,17.82,17.82,Conservative,$/kW,3089.0,3256.0,3423.0,0.029216638805679908,0.16015046456446763,90.25019727074523,100.00855463184233,2.8538812785388132,2.8538812785388132
90,Large Hydropower Plant (Dam) (>100MW),2040,95.12937595129378,2.8538812785388132,17.82,17.82,17.82,Moderate,$/kW,3089.0,3256.0,3423.0,0.029216638805679908,0.16015046456446763,90.25019727074523,100.00855463184233,2.8538812785388132,2.8538812785388132
91,Large Hydropower Plant (Dam) (>100MW),2040,95.12937595129378,2.8538812785388132,17.82,17.82,17.82,Advanced,$/kW,2780.0,2931.0,3081.0,0.03245628657498935,0.16015046456446763,90.22847667847039,99.99781893754218,2.8538812785388132,2.8538812785388132
